Date,ARDATA.Death,ARDATA.DeathConfirmed
2020-6-11,171,0
2020-6-12,176,0
2020-6-13,176,0
2020-6-14,179,0
2020-6-15,182,0
2020-6-16,182,0
2020-6-17,197,0
2020-6-18,208,0
2020-6-19,214,0
2020-6-20,224,0
2020-6-21,224,0
2020-6-22,227,0
2020-6-23,237,0
2020-6-24,240,0
2020-6-25,240,0
2020-6-26,240,0
2020-6-27,249,0
2020-6-28,259,0
2020-6-29,265,0
2020-6-30,270,0
2020-7-1,277,0
2020-7-2,279,0
2020-7-3,281,0
2020-7-4,286,0
2020-7-5,286,0
2020-7-6,292,0
2020-7-7,292,0
2020-7-8,301,0
2020-7-9,309,0
2020-7-10,313,0
2020-7-11,313,0
2020-7-12,321,0
2020-7-13,323,0
2020-7-14,331,0
2020-7-15,335,0
2020-7-16,341,0
2020-7-17,353,0
2020-7-18,353,0
2020-7-19,357,0
2020-7-20,357,0
2020-7-21,374,0
2020-7-22,380,0
2020-7-23,386,0
2020-7-24,394,0
2020-7-25,394,0
2020-7-26,401,0
2020-7-27,408,0
2020-7-28,428,0
2020-7-29,434,0
2020-7-30,442,0
2020-7-31,453,0
2020-8-1,460,0
2020-8-2,458,0
2020-8-3,475,0
2020-8-4,490,0
2020-8-5,508,0
2020-8-6,515,0
2020-8-7,521,0
2020-8-8,521,0
2020-8-9,544,0
2020-8-10,555,0
2020-8-11,566,0
2020-8-12,566,0
2020-8-13,582,0
2020-8-14,587,0
2020-8-15,600,0
2020-8-16,599,0
2020-8-17,603,0
2020-8-18,619,0
2020-8-19,631,0
2020-8-20,641,0
2020-8-21,663,0
2020-8-22,674,0
2020-8-23,687,0
2020-8-24,696,0
2020-8-25,711,0
2020-8-26,732,0
2020-8-27,739,0
2020-8-28,756,0
2020-8-29,772,0
2020-8-30,784,0
2020-8-31,797,0
2020-9-1,814,0
2020-9-2,841,0
2020-9-3,861,0
2020-9-4,873,0
2020-9-5,882,0
2020-9-6,894,0
2020-9-7,908,0
2020-9-8,917,0
2020-9-9,928,0
2020-9-10,940,0
2020-9-11,953,0
2020-9-12,969,964
2020-9-13,981,976
2020-9-14,992,986
2020-9-15,1010,1003
2020-9-16,1157,1010
2020-9-17,1166,1018
2020-9-18,1173,1025
2020-9-19,1173,1025
2020-9-20,1181,1033
2020-9-21,1197,1048
2020-9-22,1209,1060
2020-9-23,1229,1080
2020-9-24,1246,1097
2020-9-25,1266,1116
2020-9-26,1285,1137
2020-9-27,1308,1160
2020-9-28,1329,1183
2020-9-29,1350,1204
2020-9-30,1369,1223
2020-10-1,1384,1238
2020-10-2,1391,1245
2020-10-3,1407,1260
2020-10-4,1425,1278
2020-10-5,1447,1299
2020-10-6,1447,1299
2020-10-7,1482,1337
2020-10-8,1503,1359
2020-10-9,1503,1359
2020-10-10,1552,1405
2020-10-11,1569,1421
2020-10-12,1586,1438
2020-10-13,1611,1463
2020-10-14,1634,1484
2020-10-15,1645,1494
2020-10-16,1665,1514
2020-10-17,1684,1533
2020-10-18,1704,1552
2020-10-19,1714,1562
2020-10-20,1728,1576
2020-10-21,1751,1599
2020-10-22,1772,1616
2020-10-23,1782,1626
2020-10-24,1797,1640
2020-10-25,1812,1655
2020-10-26,1833,1676
2020-10-27,1857,1696
2020-10-28,1875,1714
2020-10-29,1894,1732
2020-10-30,1900,1737
2020-10-31,1925,1758
2020-11-1,1925,1758
2020-11-2,1985,1817
2020-11-3,2003,1833
2020-11-4,2026,1854
2020-11-5,2037,1863
2020-11-6,2056,1878
2020-11-7,2068,1890
2020-11-8,2085,1907
2020-11-9,2108,1930
2020-11-10,2112,1934
2020-11-11,2126,1947
2020-11-12,2144,1964
2020-11-13,2148,1968
2020-11-14,2148,1968
2020-11-15,2183,2000
2020-11-16,2225,2038
2020-11-17,2245,2057
2020-11-18,2275,2085
2020-11-19,2297,2105
2020-11-20,2321,2125
2020-11-21,2337,2141
2020-11-22,2357,2161
2020-11-23,2387,2191
2020-11-24,2405,2208
2020-11-25,2425,2227
2020-11-26,2436,2237
2020-11-27,2436,2237
2020-11-28,2449,2249
2020-11-29,2470,2265
2020-11-30,2502,2295
2020-12-1,2512,2304
2020-12-2,2522,2312
2020-12-3,2555,2343
2020-12-4,2586,2370
2020-12-5,2620,2402
2020-12-6,2660,2437
2020-12-7,2713,2485
2020-12-8,2752,2521
2020-12-9,2786,2552
2020-12-10,2820,2559
2020-12-11,2875,2588
2020-12-12,2911,2619
2020-12-13,2945,2633
2020-12-14,2990,2656
2020-12-15,3016,2672
2020-12-16,3074,2725
2020-12-17,3112,2755
2020-12-18,3139,2776
2020-12-19,3191,2821
2020-12-20,3237,2842
2020-12-21,3295,2885
2020-12-22,3338,2910
2020-12-23,3376,2939
2020-12-24,3406,2946
2020-12-25,3438,2959
2020-12-26,3441,2962
2020-12-27,3482,2976
2020-12-28,3537,3005
2020-12-29,3603,3042
2020-12-30,3637,3068
2020-12-31,3676,3088
2021-1-1,3711,3106
2021-1-2,3729,3121
2021-1-3,3749,3137
2021-1-4,3800,3178
2021-1-5,3836,3205
2021-1-6,3901,3252
2021-1-7,3926,3273
2021-1-8,3966,3304
2021-1-9,4010,3338
2021-1-10,4043,3363
2021-1-11,4081,3392
2021-1-12,4121,3424
2021-1-13,4186,3470
2021-1-14,4228,3495
2021-1-15,4263,3525
2021-1-16,4293,3550
2021-1-17,4311,3562
2021-1-18,4343,3585
2021-1-19,4386,3621
2021-1-20,4441,3657
2021-1-21,4496,3689
2021-1-22,4549,3723
2021-1-23,4563,3734
2021-1-24,4606,3758
2021-1-25,4650,3778
2021-1-26,4690,3810
2021-1-27,4742,3839
2021-1-28,4784,3864
2021-1-29,4831,3887
2021-1-30,4838,3896
2021-1-31,4868,3915
2021-2-1,4895,3937
2021-2-2,4939,3971
2021-2-3,4985,3994
2021-2-4,5009,4013
2021-2-5,5050,4032
2021-2-6,5061,4043
2021-2-7,5076,4054
2021-2-8,5106,4081
2021-2-9,5148,4119
2021-2-10,5174,4144
2021-2-11,5199,4165
2021-2-12,5212,4179
